phase,preprocessing,feature_set,representation,classifier,fit_warning,label,iterations,max_iter,converged
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Ciencias Económicas,27,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Ciencias Exactas,34,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Ciencias Informáticas,34,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Ciencias Jurídicas,30,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Ciencias Médicas,26,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Ciencias Naturales,34,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Ciencias Sociales,34,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Ciencias Veterinarias,27,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Ciencias de la Educación,35,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Comunicación,32,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Comunicación Social,27,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Educación,34,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Educación Física,29,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Filosofía,29,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Física,30,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Geografía,27,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Historia,34,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Humanidades,35,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Ingeniería,27,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Letras,37,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Odontología,28,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Periodismo,30,200000,True
